2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  4.686576603567237E+07, -1.452026741849146E+08, -7.969451561190933E+04,  2.881751478690566E+01,  1.070411872270270E+01, -5.981058904023540E-02,  5.089473586731488E+02,  1.525785796492308E+08, -1.335095604435327E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  4.932964761935906E+07, -1.442491677342818E+08, -8.220522214149684E+04,  2.820828611550189E+01,  1.134841718829999E+01,  1.987023056591930E-03,  5.085210973271214E+02,  1.524507897125549E+08, -1.610323464355127E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  5.173910249250515E+07, -1.432451399091978E+08, -7.935511201728135E+04,  2.756247131897586E+01,  1.187239417376314E+01,  6.364757696229262E-02,  5.080271090283143E+02,  1.523026957462323E+08, -1.803055982520346E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  5.409224036069892E+07, -1.422011920678498E+08, -7.131946379145980E+04,  2.690963068724578E+01,  1.227252085559564E+01,  1.214083307417040E-01,  5.074907175511125E+02,  1.521418896268318E+08, -1.903312386078647E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  5.638973621423661E+07, -1.411279105711418E+08, -5.859005885638297E+04,  2.627928152216447E+01,  1.255267035206221E+01,  1.717430597055243E-01,  5.069394363035872E+02,  1.519766196665868E+08, -1.905954014583224E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  5.863474832472110E+07, -1.400352345233487E+08, -4.194529484121501E+04,  2.569909544843220E+01,  1.272387441253184E+01,  2.115773311551425E-01,  5.064015192846389E+02,  1.518153562012763E+08, -1.811013227948735E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  6.083268454119597E+07, -1.389318636703904E+08, -2.240279215020686E+04,  2.519320752305704E+01,  1.280364174541470E+01,  2.384764183073331E-01,  5.059044554483042E+02,  1.516663402119986E+08, -1.623753206023560E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  6.299083109656940E+07, -1.378247427637676E+08, -1.157365361206234E+03,  2.478074096017066E+01,  1.281487853174145E+01,  2.507944329281173E-01,  5.054734868715312E+02,  1.515371390830471E+08, -1.354441296826589E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  6.511786662087079E+07, -1.367186541168303E+08,  2.049187698685378E+04,  2.447463911180110E+01,  1.278447620374009E+01,  2.477755484308695E-01,  5.051302338888345E+02,  1.514342344276486E+08, -1.017834692956180E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  6.722329124458331E+07, -1.356159435050176E+08,  4.122086941158772E+04,  2.428087850587399E+01,  1.274165299717019E+01,  2.296009734082958E-01,  5.048915079612753E+02,  1.513626661950372E+08, -6.323967699867165E-01,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  6.931680608680540E+07, -1.345163963125193E+08,  5.976151463471353E+04,  2.419811353495116E+01,  1.271615287478016E+01,  1.973784870733946E-01,  5.047683846750970E+02,  1.513257547624368E+08, -2.192840241936905E-01,
2457955.500000000, A.D. 2017-Jul-21 00:00:00.0000,  7.140768161097732E+07, -1.334172713505764E+08,  7.497921905133128E+04,  2.421777524619946E+01,  1.273641639343338E+01,  1.530747778960588E-01,  5.047655946587414E+02,  1.513249183365757E+08,  1.988353264501221E-01,
2457956.500000000, A.D. 2017-Jul-22 00:00:00.0000,  7.350415392040002E+07, -1.323134897000122E+08,  8.594223794787377E+04,  2.432461508071225E+01,  1.282784044561509E+01,  9.939447564142068E-02,  5.048812700326472E+02,  1.513595969412490E+08,  5.990532499352242E-01,
2457957.500000000, A.D. 2017-Jul-23 00:00:00.0000,  7.561288590039393E+07, -1.311979661105277E+08,  9.197852661340684E+04,  2.449765307865130E+01,  1.301123540035945E+01,  3.961346557148104E-02,  5.051070601787212E+02,  1.514272871241327E+08,  9.594985969743355E-01,
2457958.500000000, A.D. 2017-Jul-24 00:00:00.0000,  7.773852545396368E+07, -1.300620618475303E+08,  9.271659695199132E+04,  2.471146459169814E+01,  1.330156981770642E+01, -2.262262346137600E-02,  5.054286061533447E+02,  1.515236841822251E+08,  1.260536439599176E+00,
2457959.500000000, A.D. 2017-Jul-25 00:00:00.0000,  7.988338662649450E+07, -1.288961310744566E+08,  8.810792796316743E+04,  2.493772379832341E+01,  1.370706983826878E+01, -8.352159022758521E-02,  5.058263410883753E+02,  1.516429221160304E+08,  1.485820763591746E+00,
2457960.500000000, A.D. 2017-Jul-26 00:00:00.0000,  8.204727198377763E+07, -1.276901280141571E+08,  7.842966410415620E+04,  2.514691460753807E+01,  1.422871890248255E+01, -1.393754433375882E-01,  5.062765662644490E+02,  1.517778962282190E+08,  1.623147238003708E+00,
2457961.500000000, A.D. 2017-Jul-27 00:00:00.0000,  8.422744665470804E+07, -1.264342389879056E+08,  6.426754409133643E+04,  2.531011424340383E+01,  1.486018526960219E+01, -1.867850104208113E-01,  5.067527393116614E+02,  1.519206493164762E+08,  1.665067114994862E+00,
2457962.500000000, A.D. 2017-Jul-28 00:00:00.0000,  8.641876601304980E+07, -1.251195018485192E+08,  4.648015987576544E+04,  2.540074888911316E+01,  1.558818594545405E+01, -2.228654271231649E-01,  5.072269016215199E+02,  1.520627996008396E+08,  1.609236160381535E+00,
2457963.500000000, A.D. 2017-Jul-29 00:00:00.0000,  8.861395008094312E+07, -1.237383755549037E+08,  2.614671823164076E+04,  2.539621696658261E+01,  1.639327221809613E+01, -2.454206689900236E-01,  5.076711665114387E+02,  1.521959868641915E+08,  1.458486625393072E+00,
